,tick,position,error
505,PACXW,3265,'NoneType' object is not subscriptable
506,PAFOR,3267,'NoneType' object is not subscriptable
507,PAVMZ,3283,'NoneType' object is not subscriptable
508,PAYOW,3287,'NoneType' object is not subscriptable
509,PBAXW,3292,'NoneType' object is not subscriptable
510,PCCTW,3303,'NoneType' object is not subscriptable
511,PCTTW,3311,'NoneType' object is not subscriptable
512,PEARW,3325,'NoneType' object is not subscriptable
513,PEPLW,3335,'NoneType' object is not subscriptable
514,PETVW,3342,'NoneType' object is not subscriptable
515,PFDRW,3348,'NoneType' object is not subscriptable
516,PFTAW,3358,'NoneType' object is not subscriptable
517,PFXNL,3360,'NoneType' object is not subscriptable
518,PFXNZ,3361,'NoneType' object is not subscriptable
519,PGYWW,3368,'NoneType' object is not subscriptable
520,PHICW,3374,'NoneType' object is not subscriptable
521,PHUNW,3377,'NoneType' object is not subscriptable
522,PIIIW,3381,'NoneType' object is not subscriptable
523,PKBOW,3388,'NoneType' object is not subscriptable
524,PLTNU,3404,'NoneType' object is not subscriptable
525,PMGMW,3416,'NoneType' object is not subscriptable
526,POCI,3428,'NoneType' object is not subscriptable
527,PONOW,3434,'NoneType' object is not subscriptable
528,POWRW,3441,'NoneType' object is not subscriptable
529,POWWP,3443,'NoneType' object is not subscriptable
530,PPHPW,3448,'NoneType' object is not subscriptable
531,PPYAW,3454,'NoneType' object is not subscriptable
532,PRENW,3462,'NoneType' object is not subscriptable
533,PRLHW,3470,'NoneType' object is not subscriptable
534,PRME,3471,'NoneType' object is not subscriptable
535,PROCW,3473,'NoneType' object is not subscriptable
536,PRSRW,3484,'NoneType' object is not subscriptable
537,PRSTW,3486,'NoneType' object is not subscriptable
538,PTICW,3513,'NoneType' object is not subscriptable
539,PTOCW,3519,'NoneType' object is not subscriptable
540,PTWOW,3528,'NoneType' object is not subscriptable
541,PUCKW,3532,'NoneType' object is not subscriptable
542,PXSAW,3544,'NoneType' object is not subscriptable
543,QOMO,3564,'NoneType' object is not subscriptable
544,QSIAW,3572,'NoneType' object is not subscriptable
545,QTEKW,3574,'NoneType' object is not subscriptable
546,RACYW,3585,'NoneType' object is not subscriptable
547,RAMMW,3592,'NoneType' object is not subscriptable
